,Timestamp,Temperature_Max,Temperature_Min,Temperature_Mean,Apparent_Temperature_Max,Apparent_Temperature_Min,Apparent_Temperature_Mean,Shortwave_Radiation_Sum,Precipitation_Sum,Rain_Sum,Wind_Speed_Max,Wind_Gusts_Max,Evapotranspiration,City
0,2019-01-01,30.0,23.1,26.1,33.2,24.7,28.7,19.77,0.0,0.0,14.4,29.9,4.58,Colombo Proper
1,2019-01-02,29.4,22.7,25.7,32.6,24.5,27.3,21.45,0.0,0.0,16.6,31.0,5.19,Colombo Proper
2,2019-01-03,30.2,22.6,26.1,33.4,23.4,27.8,21.68,0.0,0.0,16.0,31.0,5.21,Colombo Proper
3,2019-01-04,30.6,22.3,26.0,33.1,23.2,27.6,22.95,0.0,0.0,16.9,35.6,5.22,Colombo Proper
4,2019-01-05,31.1,22.6,26.4,34.6,24.6,28.9,21.65,0.0,0.0,16.8,32.4,5.01,Colombo Proper
5,2019-01-06,30.5,22.7,26.2,33.3,24.5,28.2,21.52,0.0,0.0,16.0,29.5,4.75,Colombo Proper
6,2019-01-07,31.5,22.3,26.8,35.5,24.0,29.9,20.07,0.0,0.0,12.0,23.0,4.54,Colombo Proper
7,2019-01-08,31.7,23.5,27.4,34.9,26.2,30.1,21.04,0.0,0.0,13.7,30.6,4.9,Colombo Proper
8,2019-01-09,32.5,23.2,27.6,36.5,25.8,30.8,21.13,0.0,0.0,10.2,25.2,4.71,Colombo Proper
9,2019-01-10,32.3,23.8,27.7,37.3,26.6,31.3,20.01,0.3,0.3,10.3,23.8,4.46,Colombo Proper
10,2019-01-11,32.3,23.9,27.6,36.3,26.0,30.5,19.08,9.6,9.6,13.4,31.3,4.62,Colombo Proper
11,2019-01-12,30.9,24.0,27.3,34.5,25.9,30.4,16.6,0.8,0.8,13.5,30.6,3.97,Colombo Proper
12,2019-01-13,31.8,24.5,26.9,36.4,27.8,30.7,16.89,7.6,7.6,13.0,28.4,3.89,Colombo Proper
13,2019-01-14,31.0,24.4,27.1,35.7,27.4,30.7,17.81,6.2,6.2,14.9,29.2,3.99,Colombo Proper
14,2019-01-15,31.3,24.2,27.4,36.0,26.6,30.6,18.48,0.5,0.5,13.7,25.6,4.45,Colombo Proper
15,2019-01-16,31.4,23.6,27.2,35.4,25.0,30.1,18.72,0.7,0.7,16.7,32.0,4.52,Colombo Proper
16,2019-01-17,31.7,22.5,26.7,33.2,23.9,27.8,23.92,0.0,0.0,18.6,35.3,5.94,Colombo Proper
17,2019-01-18,30.9,22.0,26.2,32.6,23.0,27.0,22.11,0.0,0.0,16.1,32.8,5.73,Colombo Proper
18,2019-01-19,31.0,21.8,26.1,33.0,22.9,27.2,22.66,0.0,0.0,16.2,31.7,5.74,Colombo Proper
19,2019-01-20,31.4,21.9,26.4,34.0,23.2,28.6,19.13,0.0,0.0,15.1,28.1,4.33,Colombo Proper
20,2019-01-21,31.4,22.5,26.6,35.2,25.2,29.8,21.11,0.0,0.0,10.1,24.8,4.62,Colombo Proper
