,NAME,DATE,PRCP,TAVG,TMAX,TMIN
0,Kurunegala Proper,2019-01-02,0.0,78.0,82.25931,72.0
1,Kurunegala Proper,2019-01-03,0.0,81.0,87.0,71.0
2,Kurunegala Proper,2019-01-04,0.0,83.0,88.0,69.0
3,Kurunegala Proper,2019-01-05,0.0,84.0,90.0,65.0
4,Kurunegala Proper,2019-01-06,0.0,82.0,88.0,71.0
5,Kurunegala Proper,2019-01-07,0.0,80.0,89.0,68.0
6,Kurunegala Proper,2019-01-08,0.0,82.0,90.0,71.0
7,Kurunegala Proper,2019-01-09,0.0,83.0,89.0,71.0
8,Kurunegala Proper,2019-01-10,0.0,81.0,88.0,72.0
9,Kurunegala Proper,2019-01-11,0.0,85.0,90.0,73.0
10,Kurunegala Proper,2019-01-12,0.0,84.0,90.0,74.0
11,Kurunegala Proper,2019-01-13,0.0,82.0,87.0,72.0
12,Kurunegala Proper,2019-01-14,0.0,80.0,86.0,74.0
13,Kurunegala Proper,2019-01-15,0.0,81.0,82.25931,72.0
14,Kurunegala Proper,2019-01-16,0.0,82.0,89.0,74.0
15,Kurunegala Proper,2019-01-17,0.0,80.0,82.25931,72.0
16,Kurunegala Proper,2019-01-19,0.0,82.0,89.0,66.0
17,Kurunegala Proper,2019-01-20,0.0,80.0,82.25931,69.0
18,Kurunegala Proper,2019-01-21,0.0,82.0,90.0,69.0
19,Kurunegala Proper,2019-01-22,0.0,82.0,92.0,69.0
20,Kurunegala Proper,2019-01-23,0.0,82.0,92.0,69.0
21,Kurunegala Proper,2019-01-24,0.0,83.0,92.0,70.0
22,Kurunegala Proper,2019-01-26,0.0,87.0,94.0,76.0
23,Kurunegala Proper,2019-01-27,0.0,84.0,94.0,70.0
24,Kurunegala Proper,2019-01-28,0.0,82.0,91.0,71.0
25,Kurunegala Proper,2019-01-29,0.0,81.0,92.0,67.0
26,Kurunegala Proper,2019-01-30,0.0,85.0,82.25931,70.0
27,Kurunegala Proper,2019-01-31,0.0,84.0,92.0,71.0
28,Kurunegala Proper,2019-02-01,0.0,87.0,94.0,71.0
29,Kurunegala Proper,2019-02-02,0.0,87.0,93.0,72.0
30,Kurunegala Proper,2019-02-03,0.0,83.0,82.25931,72.0
31,Kurunegala Proper,2019-02-04,0.0,82.0,88.0,76.0
32,Kurunegala Proper,2019-02-05,0.02,82.0,89.0,75.0
33,Kurunegala Proper,2019-02-06,0.0,83.0,82.25931,74.0
34,Kurunegala Proper,2019-02-07,0.0,85.0,96.0,71.0
35,Kurunegala Proper,2019-02-10,2.51,84.0,93.0,73.0
36,Kurunegala Proper,2019-02-11,0.0,82.0,92.0,72.0
37,Kurunegala Proper,2019-02-12,0.0,82.0,82.25931,71.0
38,Kurunegala Proper,2019-02-13,0.0,85.0,91.0,77.0
39,Kurunegala Proper,2019-02-14,0.0,83.0,92.0,75.0
40,Kurunegala Proper,2019-02-15,0.0,87.0,94.0,74.0
41,Kurunegala Proper,2019-02-17,0.42,84.0,93.0,73.0
42,Kurunegala Proper,2019-02-18,0.0,86.0,94.0,75.0
43,Kurunegala Proper,2019-02-20,0.0,83.0,92.0,70.0
44,Kurunegala Proper,2019-02-21,0.0,81.0,82.25931,71.0
45,Kurunegala Proper,2019-02-22,0.0,88.0,93.0,74.0
46,Kurunegala Proper,2019-02-23,0.0,86.0,92.0,67.0
47,Kurunegala Proper,2019-02-24,0.0,83.0,82.25931,68.0
48,Kurunegala Proper,2019-02-25,0.0,85.0,96.0,72.0
49,Kurunegala Proper,2019-02-26,0.0,89.0,95.0,75.0
50,Kurunegala Proper,2019-02-27,0.0,85.0,94.0,75.0
51,Kurunegala Proper,2019-02-28,0.0,83.0,91.0,73.0
52,Kurunegala Proper,2019-03-03,0.0,88.0,96.0,73.0
53,Kurunegala Proper,2019-03-04,0.0,85.0,96.0,72.0
54,Kurunegala Proper,2019-03-05,0.11,85.0,82.25931,74.0
55,Kurunegala Proper,2019-03-06,0.0,86.0,95.0,77.0
56,Kurunegala Proper,2019-03-07,0.0,86.0,96.0,73.0
57,Kurunegala Proper,2019-03-09,0.0,88.0,96.0,74.0
58,Kurunegala Proper,2019-03-10,0.85,86.0,96.0,72.0
59,Kurunegala Proper,2019-03-11,0.0,87.0,94.0,72.0
60,Kurunegala Proper,2019-03-12,0.0,83.0,82.25931,69.0
61,Kurunegala Proper,2019-03-13,0.0,83.0,82.25931,70.0
62,Kurunegala Proper,2019-03-14,0.0,86.0,96.0,76.0
63,Kurunegala Proper,2019-03-15,0.0,90.0,98.0,71.0
64,Kurunegala Proper,2019-03-17,0.33,84.0,82.25931,75.0
65,Kurunegala Proper,2019-03-18,0.0,86.0,96.0,75.0
66,Kurunegala Proper,2019-03-19,0.0,88.0,99.0,72.0
67,Kurunegala Proper,2019-03-20,0.0,87.0,99.0,73.0
68,Kurunegala Proper,2019-03-21,0.0,84.0,82.25931,75.0
69,Kurunegala Proper,2019-03-24,0.0,88.0,99.0,73.0
70,Kurunegala Proper,2019-03-25,0.0,87.0,100.0,71.0
71,Kurunegala Proper,2019-03-26,0.0,83.0,82.25931,69.0
72,Kurunegala Proper,2019-03-27,0.0,87.0,99.0,72.0
73,Kurunegala Proper,2019-03-31,0.0,88.0,101.0,74.0
74,Kurunegala Proper,2019-04-01,0.0,90.0,99.0,74.0
75,Kurunegala Proper,2019-04-02,0.0,90.0,98.0,72.0
76,Kurunegala Proper,2019-04-03,0.0,87.0,99.0,72.0
77,Kurunegala Proper,2019-04-04,0.0,88.0,82.25931,74.0
78,Kurunegala Proper,2019-04-05,0.0,91.0,98.0,76.0
79,Kurunegala Proper,2019-04-07,0.0,87.0,98.0,77.0
80,Kurunegala Proper,2019-04-08,0.19,86.0,82.25931,76.0
81,Kurunegala Proper,2019-04-09,0.0,87.0,82.25931,76.0
82,Kurunegala Proper,2019-04-10,0.51,89.0,99.0,75.0
83,Kurunegala Proper,2019-04-11,0.06,86.0,95.0,78.0
84,Kurunegala Proper,2019-04-12,0.55,92.0,99.0,74.0
85,Kurunegala Proper,2019-04-13,0.14,90.0,97.0,77.0
86,Kurunegala Proper,2019-04-14,0.01,87.0,97.0,76.0
87,Kurunegala Proper,2019-04-15,0.0,85.0,96.0,75.0
88,Kurunegala Proper,2019-04-16,0.08,83.0,96.0,76.0
89,Kurunegala Proper,2019-04-17,0.09,82.0,94.0,76.0
90,Kurunegala Proper,2019-04-18,0.11,83.0,82.25931,73.0
