,HCHO_reading,Location,Current_Date
0,0.00019698343957810148,Colombo Proper,2019-01-01
1,0.00026255221719685945,Colombo Proper,2019-01-02
2,9.852118897938794e-05,Colombo Proper,2019-01-03
3,0.0002099320518114242,Colombo Proper,2019-01-04
4,0.00017853372988929305,Colombo Proper,2019-01-05
5,0.00010822967002356709,Colombo Proper,2019-01-06
6,9.153156350685351e-05,Colombo Proper,2019-01-08
7,0.00012059789928530154,Colombo Proper,2019-01-09
8,0.00012977235629832586,Colombo Proper,2019-01-10
9,0.00022391881668012785,Colombo Proper,2019-01-11
10,0.00015694180941787597,Colombo Proper,2019-01-12
11,0.00015694180941787597,Colombo Proper,2019-01-13
12,0.00013362919068626037,Colombo Proper,2019-01-14
13,6.374417842690063e-05,Colombo Proper,2019-01-15
14,0.00011810622508150202,Colombo Proper,2019-01-16
15,0.00024725552224230375,Colombo Proper,2019-01-17
16,3.667525352047757e-05,Colombo Proper,2019-01-18
17,0.00016878562164797227,Colombo Proper,2019-01-20
18,0.00021477981446919994,Colombo Proper,2019-01-23
19,0.0002347245196410463,Colombo Proper,2019-01-24
20,0.0002820915300341781,Colombo Proper,2019-01-25
21,0.00025072634930884313,Colombo Proper,2019-01-26
22,0.00019732884353144639,Colombo Proper,2019-01-27
23,0.0002555121674807678,Colombo Proper,2019-01-28
24,0.0002555121674807678,Colombo Proper,2019-01-29
25,0.00017136357360104896,Colombo Proper,2019-01-30
26,0.00015238021190236035,Colombo Proper,2019-01-31
27,0.00027557289956433526,Colombo Proper,2019-02-02
28,0.000231884649807831,Colombo Proper,2019-02-03
29,0.000231884649807831,Colombo Proper,2019-02-04
30,0.0002123314538243048,Colombo Proper,2019-02-07
31,0.0001679798012516793,Colombo Proper,2019-02-08
32,0.00026508191712748373,Colombo Proper,2019-02-10
33,0.0001981789630254356,Colombo Proper,2019-02-11
34,5.8587178500602015e-05,Colombo Proper,2019-02-12
35,0.00025428059514763155,Colombo Proper,2019-02-13
36,0.00025428059514763155,Colombo Proper,2019-02-14
37,0.0002239912172577585,Colombo Proper,2019-02-15
38,0.00020914931598496443,Colombo Proper,2019-02-16
39,0.0001262731392288914,Colombo Proper,2019-02-17
40,0.00022551463184464676,Colombo Proper,2019-02-18
41,0.0002720768387394868,Colombo Proper,2019-02-20
42,0.0002230429464187653,Colombo Proper,2019-02-21
43,0.00023629898517163697,Colombo Proper,2019-02-24
44,0.00024246754293039564,Colombo Proper,2019-02-25
45,0.00015645974892604218,Colombo Proper,2019-02-26
46,0.00015420168428773197,Colombo Proper,2019-02-27
47,0.00022700677098335732,Colombo Proper,2019-02-28
48,0.00022700677098335732,Colombo Proper,2019-03-01
49,0.00022700677098335732,Colombo Proper,2019-03-02
50,0.00029341402764377007,Colombo Proper,2019-03-03
51,0.00022223214977413986,Colombo Proper,2019-03-04
52,0.00013585195849200602,Colombo Proper,2019-03-06
53,0.00020238073036288453,Colombo Proper,2019-03-07
54,0.00016442381643673925,Colombo Proper,2019-03-08
55,0.00016442381643673925,Colombo Proper,2019-03-09
56,0.0002969609827467505,Colombo Proper,2019-03-10
57,0.00024013090505699768,Colombo Proper,2019-03-11
58,0.0002577451751777237,Colombo Proper,2019-03-12
59,0.0002548286008604607,Colombo Proper,2019-03-13
60,0.0003018449398759976,Colombo Proper,2019-03-14
61,0.00017905427550157188,Colombo Proper,2019-03-15
62,0.0002494769497451432,Colombo Proper,2019-03-17
63,0.0002494769497451432,Colombo Proper,2019-03-18
64,0.00020745903350836688,Colombo Proper,2019-03-19
65,0.0002559950022304003,Colombo Proper,2019-03-20
66,0.0002559950022304003,Colombo Proper,2019-03-21
67,0.0002689655073385781,Colombo Proper,2019-03-22
68,0.00014400555083803182,Colombo Proper,2019-03-23
69,0.00022044583732254788,Colombo Proper,2019-03-24
70,0.0002631266925609883,Colombo Proper,2019-03-26
71,0.0002540006405394258,Colombo Proper,2019-03-29
72,0.00022021868954248615,Colombo Proper,2019-03-30
73,0.00011557746067544699,Colombo Proper,2019-03-31
74,0.00012349321748669244,Colombo Proper,2019-04-01
75,0.0002688230247372582,Colombo Proper,2019-04-02
76,0.0002688230247372582,Colombo Proper,2019-04-03
77,0.00024014170630941398,Colombo Proper,2019-04-04
78,0.00016940115779261132,Colombo Proper,2019-04-05
79,0.00010304050274417024,Colombo Proper,2019-04-06
80,0.0001799434891600914,Colombo Proper,2019-04-07
81,0.0001938136388473303,Colombo Proper,2019-04-08
82,0.0002005766244694444,Colombo Proper,2019-04-09
83,0.00020450661303659292,Colombo Proper,2019-04-10
84,0.0002787301089676465,Colombo Proper,2019-04-11
85,0.0002500758492520154,Colombo Proper,2019-04-12
86,0.00019278190631266765,Colombo Proper,2019-04-18
87,0.00019278190631266765,Colombo Proper,2019-04-19
88,0.0001442130580330848,Colombo Proper,2019-04-20
89,0.00014541672849998114,Colombo Proper,2019-04-21
90,0.00017112056955932386,Colombo Proper,2019-04-22
91,0.00029322444064301727,Colombo Proper,2019-04-23
92,0.00013993829563996405,Colombo Proper,2019-04-24
93,9.581443666026757e-05,Colombo Proper,2019-04-25
94,9.581443666026757e-05,Colombo Proper,2019-04-26
95,9.581443666026757e-05,Colombo Proper,2019-04-27
96,9.581443666026757e-05,Colombo Proper,2019-04-28
97,9.581443666026757e-05,Colombo Proper,2019-04-29
98,9.581443666026757e-05,Colombo Proper,2019-04-30
99,9.747576626042275e-05,Colombo Proper,2019-05-01
100,9.747576626042275e-05,Colombo Proper,2019-05-02
101,9.747576626042275e-05,Colombo Proper,2019-05-03
102,0.00010087245522254383,Colombo Proper,2019-05-04
103,0.00010087245522254383,Colombo Proper,2019-05-05
104,3.904429319723554e-05,Colombo Proper,2019-05-06
105,0.00011748760394396071,Colombo Proper,2019-05-07
106,0.0001013037943240832,Colombo Proper,2019-05-08
107,9.939428098153852e-05,Colombo Proper,2019-05-09
108,0.00012536415827108134,Colombo Proper,2019-05-10
109,0.0001274753051841466,Colombo Proper,2019-05-11
110,8.802823548435995e-05,Colombo Proper,2019-05-12
111,2.4982204901168622e-05,Colombo Proper,2019-05-13
112,0.00018104380224156247,Colombo Proper,2019-05-14
113,0.00013942917244611674,Colombo Proper,2019-05-15
114,0.00011713672290272948,Colombo Proper,2019-05-16
115,0.0001095084478863608,Colombo Proper,2019-05-17
116,9.525618991159471e-05,Colombo Proper,2019-05-18
117,8.700221402162398e-05,Colombo Proper,2019-05-19
118,0.00021712476841732458,Colombo Proper,2019-05-23
119,0.00021712476841732458,Colombo Proper,2019-05-24
120,0.00018978350675731903,Colombo Proper,2019-05-25
121,0.00011078022387005001,Colombo Proper,2019-05-26
122,0.00013688992504868347,Colombo Proper,2019-05-27
123,0.00016599673795501176,Colombo Proper,2019-05-28
124,-2.056808215846379e-05,Colombo Proper,2019-05-29
125,0.00021793239461453438,Colombo Proper,2019-05-30
126,9.379307690791867e-05,Colombo Proper,2019-05-31
127,7.067572073902713e-05,Colombo Proper,2019-06-01
128,0.0001658041001064703,Colombo Proper,2019-06-02
129,0.0001609821398171031,Colombo Proper,2019-06-03
130,8.42250633206326e-05,Colombo Proper,2019-06-04
131,8.42250633206326e-05,Colombo Proper,2019-06-05
132,8.42250633206326e-05,Colombo Proper,2019-06-06
133,8.42250633206326e-05,Colombo Proper,2019-06-07
134,0.00012217992950528563,Colombo Proper,2019-06-08
135,0.000184304139111191,Colombo Proper,2019-06-09
136,0.000184304139111191,Colombo Proper,2019-06-10
137,8.17687223806277e-05,Colombo Proper,2019-06-11
138,0.00018806142907124013,Colombo Proper,2019-06-12
139,2.3285886143280304e-05,Colombo Proper,2019-06-13
140,8.209911205126233e-05,Colombo Proper,2019-06-14
141,0.00016365620899872765,Colombo Proper,2019-06-15
142,0.00016365620899872765,Colombo Proper,2019-06-16
143,0.00015344559889285574,Colombo Proper,2019-06-17
144,0.00015833081357305082,Colombo Proper,2019-06-18
145,0.00014507583946095476,Colombo Proper,2019-06-19
146,0.00014507583946095476,Colombo Proper,2019-06-20
147,0.00014507583946095476,Colombo Proper,2019-06-21
148,0.00014034976273987233,Colombo Proper,2019-06-22
149,1.9792269443138506e-05,Colombo Proper,2019-06-23
150,0.00028857390861958265,Colombo Proper,2019-06-24
151,0.00016989584102356363,Colombo Proper,2019-06-25
